antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'wingspan_WINGSPAN_HIGH', 'bench_press_BENCH_PRESS_LOW'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.23377703826955074,0.3577371048252912,0.16805324459234608,0.7188612099644128,2.0094678473888936,1.0,0.08442252374716569,2.284504728406243,0.6556261489341116,0.39685658153241643,0.5622683605922594,0.5943143259124389
frozenset({'weight_WEIGHT_HIGH'}),frozenset({'wingspan_WINGSPAN_HIGH'}),0.34608985024958405,0.37104825291181365,0.2579034941763727,0.7451923076923076,2.0083433942738873,1.0,0.12948745989075333,2.4683389319687303,0.7678076007551505,0.5615942028985507,0.5948692511192509,0.7201297861331493
"frozenset({'weight_WEIGHT_HIGH', 'bench_press_BENCH_PRESS_HIGH'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.16472545757071547,0.3577371048252912,0.11730449251247921,0.7121212121212122,1.9906272022551093,1.0,0.05837608423011011,2.2310184779753044,0.5957870645079257,0.28952772073921973,0.5517742188726645,0.5200140944326991
frozenset({'weight_WEIGHT_HIGH'}),frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.34608985024958405,0.3577371048252912,0.24625623960066556,0.7115384615384615,1.988998211091234,1.0,0.12244705856296077,2.22651136993899,0.7604016229970427,0.5381818181818181,0.5508668792347547,0.6999552772808586
"frozenset({'weight_WEIGHT_HIGH', 'bench_press_BENCH_PRESS_LOW'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.18136439267886856,0.3577371048252912,0.12895174708818635,0.7110091743119266,1.98751866865799,1.0,0.06407097433285068,2.2224335102870874,0.6069367951744034,0.3144016227180528,0.5500427817654607,0.5357371452954982
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'wingspan_WINGSPAN_HIGH'}),0.17554076539101499,0.37104825291181365,0.1264559068219634,0.7203791469194313,1.9414702569442968,1.0,0.06132181250882472,2.2493020107730053,0.5881751553454777,0.30099009900990104,0.555417638356027,0.5305931609036618
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'bench_press_BENCH_PRESS_HIGH'})",frozenset({'wingspan_WINGSPAN_HIGH'}),0.14143094841930118,0.37104825291181365,0.10066555740432612,0.7117647058823529,1.918253758902664,1.0,0.04818785108568358,2.1820774898977886,0.5575469280543275,0.24444444444444444,0.5417211328976034,0.49153257715642307
"frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_MED', 'lane_agility_time_LANE_AGILITY_TIME_MED'})",frozenset({'bench_press_BENCH_PRESS_LOW'}),0.16971713810316139,0.6821963394342762,0.1572379367720466,0.9264705882352942,1.3580703012912483,1.0,0.041457526418808385,4.322129783693846,0.317555746413462,0.22634730538922157,0.768632583923622,0.5784791965566715
"frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_MED', 'max_vertical_leap_MAX_VERTICAL_LEAP_MED'})",frozenset({'bench_press_BENCH_PRESS_LOW'}),0.18552412645590682,0.6821963394342762,0.16722129783693843,0.9013452914798206,1.32124029312042,1.0,0.04065741789197705,3.2213734684616533,0.29851762637273294,0.23871733966745845,0.6895734040804825,0.5732336213496664
"frozenset({'weight_WEIGHT_MED', 'max_vertical_leap_MAX_VERTICAL_LEAP_MED'})",frozenset({'bench_press_BENCH_PRESS_LOW'}),0.11980033277870217,0.6821963394342762,0.10732113144758736,0.8958333333333333,1.3131605691056911,1.0,0.02559378296294862,3.0509151414309468,0.2709368268343079,0.1544910179640719,0.6722294938917974,0.5265752032520324
"frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_MED', 'lane_agility_time_LANE_AGILITY_TIME_MED'})",frozenset({'bench_press_BENCH_PRESS_LOW'}),0.18469217970049917,0.6821963394342762,0.1638935108153078,0.8873873873873873,1.300780048341024,1.0,0.037897181901489746,2.822096505823626,0.2836113125453227,0.23313609467455623,0.6456535069100513,0.5638156449132059
"frozenset({'weight_WEIGHT_MED', 'lane_agility_time_LANE_AGILITY_TIME_MED'})",frozenset({'bench_press_BENCH_PRESS_LOW'}),0.13061564059900166,0.6821963394342762,0.11064891846921797,0.8471337579617835,1.2417741183781266,1.0,0.021543406579716012,2.078965612867444,0.2239522250602584,0.1575829383886256,0.5189915630106381,0.5046644399565015
frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_MED'}),frozenset({'bench_press_BENCH_PRESS_LOW'}),0.2653910149750416,0.6821963394342762,0.22296173044925124,0.8401253918495298,1.2315008792721158,1.0,0.0419129515145307,1.9878307396169792,0.2558949307821031,0.3076923076923077,0.4969390602176306,0.5834773300711064
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_MED', 'weight_WEIGHT_MED'})",frozenset({'bench_press_BENCH_PRESS_LOW'}),0.13976705490848584,0.6821963394342762,0.11397670549084858,0.8154761904761906,1.1953687572590015,1.0,0.018628132258770067,1.7222908056465043,0.18999279955950266,0.1609870740305523,0.4193779606083275,0.49127468060394897
"frozenset({'weight_WEIGHT_MED', 'wingspan_WINGSPAN_MED'})",frozenset({'bench_press_BENCH_PRESS_LOW'}),0.1389351081530782,0.6821963394342762,0.11064891846921797,0.7964071856287426,1.167416386738718,1.0,0.015867896268282777,1.5609768033669382,0.16654680178707662,0.1557377049180328,0.3593754898579807,0.47930115378998106
frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_MED'}),frozenset({'bench_press_BENCH_PRESS_LOW'}),0.28452579034941766,0.6821963394342762,0.22628951747088186,0.7953216374269005,1.16582513193553,1.0,0.03218706481986483,1.5526978844782504,0.19880300957592334,0.3056179775280899,0.3559597072961636,0.5635144772500357
